"","Date","Provinsi","Total.Cases","Total.Deaths","Total.Recovered","Total.Active.Cases","Location.Level","Population","Population.Density","Longitude","Latitude"
"1",2020-03-01,"DKI Jakarta",489,35,39,415,"Province",10846145,16334.31,106.8361183,-6.204698991
"2",2020-03-02,"DKI Jakarta",491,35,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"4",2020-03-02,"Jawa Barat",12,10,624,-622,"Province",45161325,1276.55,107.6037083,-6.920432083
"5",2020-03-02,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"6",2020-03-03,"DKI Jakarta",493,35,39,419,"Province",10846145,16334.31,106.8361183,-6.204698991
"8",2020-03-03,"Jawa Barat",13,11,624,-622,"Province",45161325,1276.55,107.6037083,-6.920432083
"9",2020-03-03,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"10",2020-03-04,"DKI Jakarta",495,35,39,421,"Province",10846145,16334.31,106.8361183,-6.204698991
"12",2020-03-04,"Jawa Barat",14,11,624,-621,"Province",45161325,1276.55,107.6037083,-6.920432083
"13",2020-03-04,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"14",2020-03-05,"DKI Jakarta",495,36,39,420,"Province",10846145,16334.31,106.8361183,-6.204698991
"16",2020-03-05,"Jawa Barat",15,11,624,-620,"Province",45161325,1276.55,107.6037083,-6.920432083
"17",2020-03-05,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"18",2020-03-06,"Banten",59,1,31,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"19",2020-03-06,"DKI Jakarta",495,36,39,420,"Province",10846145,16334.31,106.8361183,-6.204698991
"21",2020-03-06,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"22",2020-03-06,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"23",2020-03-07,"Banten",59,1,31,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"24",2020-03-07,"DKI Jakarta",495,38,39,418,"Province",10846145,16334.31,106.8361183,-6.204698991
"26",2020-03-07,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"27",2020-03-07,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"28",2020-03-08,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"29",2020-03-08,"DKI Jakarta",495,38,39,418,"Province",10846145,16334.31,106.8361183,-6.204698991
"31",2020-03-08,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"32",2020-03-08,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"33",2020-03-09,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"34",2020-03-09,"DKI Jakarta",495,39,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"36",2020-03-09,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"37",2020-03-09,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"38",2020-03-10,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"39",2020-03-10,"DKI Jakarta",495,39,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"41",2020-03-10,"Jawa Barat",16,11,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"42",2020-03-10,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"43",2020-03-10,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"44",2020-03-11,"Banten",60,1,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"45",2020-03-11,"DKI Jakarta",495,39,39,417,"Province",10846145,16334.31,106.8361183,-6.204698991
"47",2020-03-11,"Jawa Barat",16,12,624,-620,"Province",45161325,1276.55,107.6037083,-6.920432083
"48",2020-03-11,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"49",2020-03-11,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"50",2020-03-12,"Banten",60,2,31,27,"Province",10722374,1109.64,106.1090043,-6.456736388
"51",2020-03-12,"DKI Jakarta",495,40,43,412,"Province",10846145,16334.31,106.8361183,-6.204698991
"53",2020-03-12,"Jawa Barat",17,12,624,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"54",2020-03-12,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"55",2020-03-12,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"56",2020-03-13,"Banten",61,2,31,28,"Province",10722374,1109.64,106.1090043,-6.456736388
"57",2020-03-13,"DKI Jakarta",495,41,46,408,"Province",10846145,16334.31,106.8361183,-6.204698991
"59",2020-03-13,"Jawa Barat",21,12,628,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"60",2020-03-13,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"61",2020-03-13,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"62",2020-03-14,"Banten",62,2,31,29,"Province",10722374,1109.64,106.1090043,-6.456736388
"63",2020-03-14,"DKI Jakarta",496,42,47,407,"Province",10846145,16334.31,106.8361183,-6.204698991
"65",2020-03-14,"Jawa Barat",21,12,628,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"66",2020-03-14,"Kalimantan Timur",6,2,124,-120,"Province",3552191,27.52,116.4684405,0.45385803
"67",2020-03-14,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"68",2020-03-14,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"69",2020-03-15,"Banten",63,2,31,30,"Province",10722374,1109.64,106.1090043,-6.456736388
"70",2020-03-15,"DKI Jakarta",502,45,47,410,"Province",10846145,16334.31,106.8361183,-6.204698991
"72",2020-03-15,"Jawa Barat",21,12,628,-619,"Province",45161325,1276.55,107.6037083,-6.920432083
"73",2020-03-15,"Kalimantan Timur",8,2,124,-118,"Province",3552191,27.52,116.4684405,0.45385803
"74",2020-03-15,"Riau",2,2,8,-8,"Province",6074100,69.8,101.8051092,0.511647851
"75",2020-03-15,"Sulawesi Tenggara",1,0,6,-5,"Province",2635461,69.23,122.070311,-4.124688793
"76",2020-03-16,"Banten",64,2,31,31,"Province",10722374,1109.64,106.1090043,-6.456736388
"77",2020-03-16,"DKI Jakarta",502,48,47,407,"Province",10846145,16334.31,106.8361183,-6.204698991
"78",2020-03-16,"Daerah Istimewa Yogyakarta",16,1,37,-22,"Province",3631015,1158.9,110.4448783,-7.89450185
"80",2020-03-16,"Jawa Barat",22,12,628,-618,"Province",45161325,1276.55,107.6037083,-6.920432083
"81",2020-03-16,"Kalimantan Timur",9,2,124,-117,"Province",3552191,27.52,116.4684405,0.45385803
